	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
nFOMC20050809meeting.csv_MR.	1	0	0	0	0	2	0	66	239	0	2	0	13	2	0	0	0	6	1	2	5	26	1	0	0
nFOMC20050809meeting.csv_MR.	0	0	0	1	0	0	0	0	443	0	0	0	0	3	2	1	0	0	58	0	1	0	0	0	0
nFOMC20050809meeting.csv_MR.	0	0	0	0	9	2	2	0	151	0	0	0	1	0	1	0	0	0	4	0	0	0	0	9	0
nFOMC20050809meeting.csv_MR.	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
nFOMC20050809meeting.csv_MR.	0	0	0	0	1	1	0	2	968	0	0	10	6	0	6	0	0	9	1	3	0	207	0	1	0
nFOMC20050809meeting.csv_MS.	1	2	0	0	0	9	0	0	267	109	1	1	1	0	4	0	0	0	0	0	0	0	3	5	0
nFOMC20050809meeting.csv_MS.	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0
nFOMC20050809meeting.csv_MS.	0	6	1	0	3	2	0	0	361	1	0	0	1	0	0	200	1	0	0	2	7	13	0	0	0
nFOMC20050809meeting.csv_MS.	0	12	1	2	0	8	5	0	627	4	0	2	0	0	0	0	1	11	69	6	14	0	2	3	0
nFOMC20050809meeting.csv_MS.	1	0	2	0	4	24	0	0	75	27	0	0	2	0	0	0	0	0	0	4	0	0	0	0	1
nFOMC20050809meeting.csv_MS.	0	0	0	0	0	0	0	0	213	0	0	0	1	0	11	1	1	0	1	0	4	0	1	13	1
nFOMC20050809meeting.csv_MS.	0	0	0	0	0	0	0	3	471	0	0	1	0	0	0	0	4	43	3	0	0	48	0	1	0
nFOMC20050809meeting.csv_VICE	1	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
nFOMC20061212meeting.csv_CHAIRMAN	9	3	8	0	0	0	0	0	1191	12	0	4	0	0	0	9	0	4	0	4	0	0	182	0	0
nFOMC20061212meeting.csv_MR.	0	0	0	0	2	0	0	0	399	9	0	2	0	4	0	0	1	2	69	36	1	1	0	9	0
nFOMC20061212meeting.csv_MR.	0	2	0	0	0	2	15	33	526	0	1	0	1	210	0	13	1	0	5	3	0	0	0	19	0
nFOMC20061212meeting.csv_MR.	0	0	1	0	1	0	0	3	311	0	0	0	0	10	0	5	0	0	34	0	0	3	0	2	0
nFOMC20061212meeting.csv_MR.	0	0	0	0	11	0	0	0	465	11	0	0	0	0	0	166	0	0	0	0	1	2	0	1	0
nFOMC20061212meeting.csv_MR.	0	1	0	48	0	0	0	0	780	4	4	0	0	0	0	0	0	1	2	0	18	0	2	0	0
nFOMC20061212meeting.csv_MR.	13	248	0	0	6	0	0	2	503	35	1	0	0	2	0	3	6	0	0	0	1	2	0	18	6
nFOMC20061212meeting.csv_MR.	0	4	3	8	32	39	0	1	505	3	0	1	0	0	4	0	0	13	7	0	0	1	0	0	1
nFOMC20061212meeting.csv_MR.	7	0	1	0	0	0	0	1	523	0	1	0	0	0	1	2	0	0	37	0	14	9	2	13	4
nFOMC20061212meeting.csv_MR.	0	1	0	0	0	0	0	0	825	4	2	0	0	0	3	0	0	0	0	0	0	0	0	0	200
nFOMC20061212meeting.csv_MR.	0	0	0	2	0	0	0	0	279	0	7	0	68	0	0	0	25	0	0	1	2	0	4	0	0
nFOMC20061212meeting.csv_MR.	0	0	0	0	0	3	1	0	624	0	0	0	0	0	0	2	4	0	12	1	0	0	0	67	0
nFOMC20061212meeting.csv_MR.	0	7	0	0	1	0	0	27	984	1	2	0	14	0	0	1	0	0	127	1	1	0	14	1	1
nFOMC20061212meeting.csv_MR.	0	9	0	0	0	0	0	112	688	0	15	0	0	0	0	0	0	0	0	2	0	1	0	0	0
nFOMC20061212meeting.csv_MR.	0	2	0	0	3	0	1	0	232	1	0	0	0	0	1	0	0	0	7	0	0	1	1	11	2
